PSU94-097 camber file. Note: there must not be extra rows at the end of this file!
     0.000000     0.000000     0.000000     0.000000
     0.003853     0.001724     0.000310     0.003367
     0.007556     0.003366     0.001433     0.007183
     0.009810     0.004359     0.002449     0.009348
     0.012316     0.005455     0.003853     0.011661
     0.015082     0.006657     0.005564     0.013932
     0.018126     0.007970     0.007556     0.016144
     0.021481     0.009405     0.009810     0.018290
     0.025194     0.010978     0.012316     0.020375
     0.027521     0.011955     0.015082     0.022414
     0.032848     0.014175     0.018126     0.024424
     0.039054     0.016714     0.021481     0.026422
     0.045213     0.019194     0.025194     0.028427
     0.052139     0.021931     0.027521     0.029591
     0.054362     0.022799     0.032848     0.032049
     0.060196     0.025048     0.039054     0.034601
     0.063497     0.026304     0.045213     0.036882
     0.069603     0.028594     0.052139     0.039201
     0.073538     0.030048     0.054362     0.039897
     0.080553     0.032597     0.060196     0.041630
     0.084366     0.033959     0.063497     0.042554
     0.093150     0.037035     0.069603     0.044167
     0.095842     0.037962     0.073538     0.045146
     0.107335     0.041819     0.080553     0.046786
     0.120325     0.046001     0.084366     0.047626
     0.122888     0.046803     0.093150     0.049433
     0.133138     0.049939     0.095842     0.049957
     0.139477     0.051820     0.107335     0.052022
     0.146246     0.053778     0.120325     0.054088
     0.156721     0.056707     0.122888     0.054464
     0.159601     0.057490     0.133138     0.055877
     0.173169     0.061056     0.139477     0.056681
     0.186925     0.064459     0.146246     0.057483
     0.191708     0.065593     0.156721     0.058622
     0.200846     0.067687     0.159601     0.058912
     0.209094     0.069497     0.173169     0.060171
     0.214913     0.070728     0.186925     0.061267
     0.226350     0.073036     0.191708     0.061611
     0.229114     0.073571     0.200846     0.062208
     0.243433     0.076209     0.209094     0.062692
     0.257861     0.078634     0.214913     0.063000
     0.260501     0.079052     0.226350     0.063538
     0.272387     0.080837     0.229114     0.063652
     0.277423     0.081546     0.243433     0.064169
     0.287004     0.082816     0.257861     0.064558
     0.294264     0.083709     0.260501     0.064617
     0.301703     0.084563     0.272387     0.064825
     0.311035     0.085546     0.277423     0.064891
     0.316480     0.086074     0.287004     0.064977
     0.327764     0.087063     0.294264     0.065011
     0.331332     0.087346     0.301703     0.065017
     0.344444     0.088262     0.311035     0.064988
     0.361124     0.089148     0.316480     0.064952
     0.376422     0.089685     0.327764     0.064836
     0.391748     0.089959     0.331332     0.064786
     0.394763     0.089982     0.344444     0.064561
     0.407412     0.089985     0.361124     0.064173
     0.412063     0.089961     0.376422     0.063723
     0.423442     0.089860     0.391748     0.063189
     0.429687     0.089778     0.394763     0.063073
     0.439681     0.089604     0.407412     0.062557
     0.447447     0.089435     0.412063     0.062355
     0.456038     0.089213     0.423442     0.061832
     0.465249     0.088933     0.429687     0.061527
     0.472464     0.088685     0.439681     0.061016
     0.483051     0.088274     0.447447     0.060599
     0.488931     0.088021     0.456038     0.060118
     0.500836     0.087456     0.465249     0.059580
     0.505425     0.087219     0.472464     0.059142
     0.518596     0.086482     0.483051     0.058476
     0.521934     0.086281     0.488931     0.058094
     0.536329     0.085351     0.500836     0.057295
     0.538452     0.085205     0.505425     0.056978
     0.554036     0.084066     0.518596     0.056041
     0.571498     0.082645     0.521934     0.055797
     0.588018     0.081160     0.536329     0.054717
     0.604532     0.079539     0.538452     0.054554
     0.607014     0.079284     0.554036     0.053329
     0.621036     0.077784     0.571498     0.051898
     0.624631     0.077383     0.588018     0.050490
     0.637527     0.075893     0.604532     0.049032
     0.642229     0.075329     0.607014     0.048808
     0.654003     0.073868     0.621036     0.047525
     0.659811     0.073122     0.624631     0.047191
     0.670462     0.071710     0.637527     0.045973
     0.677378     0.070763     0.642229     0.045522
     0.686900     0.069420     0.654003     0.044377
     0.694931     0.068252     0.659811     0.043803
     0.703315     0.066998     0.670462     0.042738
     0.712471     0.065588     0.677378     0.042037
     0.719704     0.064445     0.686900     0.041060
     0.730000     0.062773     0.694931     0.040225
     0.736066     0.061763     0.703315     0.039342
     0.747519     0.059806     0.712471     0.038366
     0.752398     0.058952     0.719704     0.037587
     0.765028     0.056686     0.730000     0.036463
     0.768697     0.056013     0.736066     0.035794
     0.782528     0.053416     0.747519     0.034516
     0.784962     0.052949     0.752398     0.033966
     0.800021     0.049994     0.765028     0.032525
     0.817379     0.046447     0.768697     0.032103
     0.833525     0.043012     0.782528     0.030492
     0.849624     0.039457     0.784962     0.030205
     0.852441     0.038822     0.800021     0.028415
     0.865669     0.035786     0.817379     0.026310
     0.869877     0.034802     0.833525     0.024313
     0.881648     0.032002     0.849624     0.022284
     0.887266     0.030641     0.852441     0.021925
     0.897536     0.028112     0.865669     0.020223
     0.904559     0.026353     0.869877     0.019677
     0.913287     0.024132     0.881648     0.018133
     0.921658     0.021966     0.887266     0.017389
     0.928814     0.020086     0.897536     0.016016
     0.938369     0.017539     0.904559     0.015067
     0.943950     0.016030     0.913287     0.013877
     0.954363     0.013165     0.921658     0.012725
     0.958419     0.012033     0.928814     0.011732
     0.969174     0.009016     0.938369     0.010391
     0.971833     0.008264     0.943950     0.009598
     0.982327     0.005205     0.954363     0.008110
     0.993557     0.001946     0.958419     0.007534
     1.000000    -0.000002     0.969174     0.005971
