This file contains spanwise information at angle of 1.00
 The total lift (uncorrected for stall) and drag coefficient are  CL = 0.123372 (uncorrected)  CDi =   0.00050859   The horizontal tail is panel 0 through 0
 index               xo               yo               zo               cn               cl               cy               cd                A                B                C                S             span            chord               nu          epsilon              psi            phiLE	#
HT
     0  -1.124847695156   0.150000000000  -0.017452406437   0.063251424091   0.063251424091   0.000000000000   0.000224233561   0.015357208142  -0.000075438050  -0.000251460167   0.300000000000   0.300000000000   1.000000000000   0.000000000000   0.000000000000   0.000000000000   0.000000000000
     1  -1.124847695156   0.450000000000  -0.017452406437   0.063064131717   0.063064131717   0.000000000000   0.000225836104   0.015311678215  -0.000229875440  -0.000263331131   0.300000000000   0.300000000000   1.000000000000   0.000000000000   0.000000000000   0.000000000000   0.000000000000
     2  -1.124847695156   0.750000000000  -0.017452406437   0.062674529425   0.062674529425   0.000000000000   0.000229055499   0.015218403976  -0.000396031527  -0.000290522494   0.300000000000   0.300000000000   1.000000000000   0.000000000000   0.000000000000   0.000000000000   0.000000000000
     3  -1.124847695156   1.050000000000  -0.017452406437   0.062047805392   0.062047805392   0.000000000000   0.000233912556   0.015072277962  -0.000585938778  -0.000342501676   0.300000000000   0.300000000000   1.000000000000   0.000000000000   0.000000000000   0.000000000000   0.000000000000
     4  -1.124847695156   1.350000000000  -0.017452406437   0.061117035100   0.061117035100   0.000000000000   0.000240412372   0.014863448483  -0.000821075715  -0.000441288115   0.300000000000   0.300000000000   1.000000000000   0.000000000000   0.000000000000   0.000000000000   0.000000000000
     5  -1.124847695156   1.650000000000  -0.017452406437   0.059756127164   0.059756127164   0.000000000000   0.000248420826   0.014572823693  -0.001146997185  -0.000645116785   0.300000000000   0.300000000000   1.000000000000   0.000000000000   0.000000000000   0.000000000000   0.000000000000
     6  -1.124847695156   1.950000000000  -0.017452406437   0.057721717122   0.057721717122   0.000000000000   0.000257414141   0.014161730186  -0.001653185123  -0.001042176340   0.300000000000   0.300000000000   1.000000000000   0.000000000000   0.000000000000   0.000000000000   0.000000000000
     7  -1.124847695156   2.250000000000  -0.017452406437   0.054514266554   0.054514266554   0.000000000000   0.000264547666   0.013537690574  -0.002735666990  -0.002566096552   0.300000000000   0.300000000000   1.000000000000   0.000000000000   0.000000000000   0.000000000000   0.000000000000
     8  -1.124847695156   2.550000000000  -0.017452406437   0.049197603731   0.049197603731   0.000000000000   0.000269190080   0.012547394079  -0.003457294368   0.000160671958   0.300000000000   0.300000000000   1.000000000000   0.000000000000   0.000000000000   0.000000000000   0.000000000000
     9  -1.124847695156   2.850000000000  -0.017452406437   0.037181616901   0.037181616901   0.000000000000   0.000162716966   0.009596075934  -0.029075428665  -0.085554452946   0.300000000000   0.300000000000   1.000000000000   0.000000000000   0.000000000000   0.000000000000   0.000000000000
    10  -1.274847695156   3.000000000000   0.042547593563   0.020030186975   0.000243801811  -0.020030186975   0.000028511032   0.000716721017  -0.031693749669   0.192066790659   0.120000000000   0.120000000000   1.000000000000  90.000000000000   0.000000000000   0.000000000000 -68.198590513648
    11  -1.574847695156   3.000000000000   0.162547593563   0.010033794954  -0.000027787035  -0.010033794954  -0.000017674923  -0.000952562015  -0.006657548461   0.016568219413   0.120000000000   0.120000000000   1.000000000000  90.000000000000   0.000000000000   0.000000000000 -68.198590513648
    12  -1.874847695156   3.000000000000   0.282547593563   0.002292040006  -0.000070672235  -0.002292040006  -0.000006982794  -0.001559788984  -0.004244626254   0.003539465641   0.120000000000   0.120000000000   1.000000000000  90.000000000000   0.000000000000   0.000000000000 -68.198590513648
    13  -2.174847695156   3.000000000000   0.402547593563  -0.002886854011  -0.000117724945   0.002886854011   0.000008248178  -0.002035564308  -0.003974770446  -0.001290667239   0.120000000000   0.120000000000   1.000000000000  90.000000000000   0.000000000000   0.000000000000 -68.198590513648
    14  -2.474847695156   3.000000000000   0.522547593563  -0.005872636962  -0.000176203825   0.005872636962   0.000008051201  -0.002537497078  -0.004497020868  -0.003061419611   0.120000000000   0.120000000000   1.000000000000  90.000000000000   0.000000000000   0.000000000000 -68.198590513648
    15  -2.774847695156   3.000000000000   0.642547593563  -0.008217714044  -0.000259077052   0.008217714044  -0.000001773131  -0.003126443168  -0.005405733044  -0.004511181857   0.120000000000   0.120000000000   1.000000000000  90.000000000000   0.000000000000   0.000000000000 -68.198590513648
    16  -3.074847695156   3.000000000000   0.762547593563  -0.010911259862  -0.000382420792   0.010911259862  -0.000016654533  -0.003843511583  -0.006602397722  -0.005461023790   0.120000000000   0.120000000000   1.000000000000  90.000000000000   0.000000000000   0.000000000000 -68.198590513648
    17  -3.374847695156   3.000000000000   0.882547593563  -0.014443285646  -0.000531685350   0.014443285646  -0.000035779955  -0.004685519136  -0.006949079543   0.002572008609   0.120000000000   0.120000000000   1.000000000000  90.000000000000   0.000000000000   0.000000000000 -68.198590513648
    18  -3.674847695156   3.000000000000   1.002547593563  -0.019152756452  -0.000606558665   0.019152756452  -0.000057586252  -0.005412746797  -0.004010965465   0.021912275378   0.120000000000   0.120000000000   1.000000000000  90.000000000000   0.000000000000   0.000000000000 -68.198590513648
    19  -3.974847695156   3.000000000000   1.122547593563  -0.026496842995  -0.000431050422   0.026496842995   0.000001882443  -0.006085415862  -0.015648351875  -0.118890495465   0.120000000000   0.120000000000   1.000000000000  90.000000000000   0.000000000000   0.000000000000 -68.198590513648
