This file contains spanwise information at angle of 5.00
 The total lift (uncorrected for stall) and drag coefficient are  CL = 0.921681 (uncorrected)  CDi =   0.01025573   The horizontal tail is panel 113 through 112
 index               xo               yo               zo               cn               cl               cy               cd             A_TE             B_TE             C_TE                S             span            chord               nu          epsilon              psi            phiLE	#
     0 -15.978690749379 -11.989518578861  -0.146646735282   1.007962302830   0.624745026993   0.908092903344   0.079858622271   0.649600687438  47.451338160216 -1580.606075211322   0.000919332342   0.020596020864   0.045287175954 -62.654357838584  -8.748509113967   1.228046116344 -41.591533713868
     1 -15.996040749398 -11.982599926342  -0.165837597384   1.514967163018   0.876607800806   1.312210313031   0.088227257092   1.116463150314  13.638269158236 -74.554837762359   0.001155585346   0.020596020864   0.056925221171 -62.654357838584  -8.748509113967   1.228046116344 -41.591533713868
     2 -16.013390749379 -11.975681273816  -0.185028459486   1.541682702741   0.893216291853   1.334467368564   0.052963257959   1.365664775957  10.925342915314 -58.243799261744   0.001391838350   0.020596020864   0.068563266388 -62.654357838584  -8.748509113967   1.228046116344 -41.591533713868
     3 -16.030740749398 -11.968762621292  -0.204219321588   1.514356843775   0.868490458618   1.304926232829   0.042923825920   1.567260556298   9.076401934732 -32.262473365445   0.001628091354   0.020596020864   0.080201311606 -62.654357838584  -8.748509113967   1.228046116344 -41.591533713868
     4 -16.048915749398 -11.960568719264  -0.226607202636   1.488345351236   0.774672811621   1.286539930927   0.037971497266   1.767544445368   7.809784456105 -22.215850605901   0.002473324137   0.027483119324   0.091080353874 -63.524165997551  -8.777844174669   0.994977121926 -35.719441853133
     5 -16.067915749398 -11.951089333572  -0.252220759354   1.495174727218   0.784987191692   1.287621237327   0.035292209313   1.965871056625   6.794864854353 -14.897121705001   0.002748137930   0.027483119324   0.101200393193 -63.524165997551  -8.777844174669   0.994977121926 -35.719441853133
     6 -16.086915749398 -11.941609947880  -0.277834316071   1.483783088830   0.780308432736   1.272687409351   0.033853896731   2.140847338963   6.023893205041 -13.295307945615   0.003022951723   0.027483119324   0.111320432513 -63.524165997551  -8.777844174669   0.994977121926 -35.719441853133
     7 -16.111165749398 -11.930246147726  -0.309892814096   1.442034014748   0.718292921529   1.244955323382   0.031620965621   2.332269095366   5.303054657568  -8.778687260070   0.005009746765   0.040913478020   0.123970481662 -64.580790541629  -8.773139056634   1.035954654335 -36.822530783303
     8 -16.140665749393 -11.917025285346  -0.348318237189   1.398401247940   0.683221682828   1.197693730739   0.029996830517   2.535049383791   4.736712252458  -5.137825594161   0.005623185144   0.040913478020   0.139150540641 -64.580790541629  -8.773139056634   1.035954654335 -36.822530783303
     9 -16.165790749398 -11.903618373430  -0.386736922987   1.387609483521   0.622526967137   1.194716194766   0.031910555721   2.718531026588   4.212072715079  -7.727008983360   0.006101716550   0.040931662110   0.150535584875 -65.994861043323  -8.804602029665   0.718206140400 -27.430905058632
    10 -16.186540749398 -11.890008382654  -0.425198354793   1.409709492146   0.638651891006   1.196906882563   0.033256465062   2.877816296951   3.596732442529  -7.340995155310   0.006409366124   0.040931662110   0.158125614364 -65.994861043323  -8.804602029665   0.718206140400 -27.430905058632
    11 -16.210340749395 -11.872661997364  -0.473644678401   1.441658710091   0.634658259735   1.198802583371   0.034183064498   3.043841904860   2.853087474533  -7.135034897061   0.010199371002   0.062298348195   0.165209641888 -66.319727613994  -8.813134656752   0.603577272646 -23.566264128531
    12 -16.237190749395 -11.851566921782  -0.532110548705   1.438364037578   0.633968533162   1.217958029995   0.033018225142   3.187039806728   1.536124555120 -14.035255241835   0.010605471532   0.062298348195   0.171787667445 -66.319727613994  -8.813134656752   0.603577272646 -23.566264128531
    13 -16.275365749398 -11.830209703658  -0.562751310611   1.532337580822   1.528380015139   0.172702490508  -0.013720744078   3.234326745339   1.348372707693  26.336039708754   0.005299194892   0.027300856240   0.202906788352   2.581222048518  -8.397037218421   2.752611368097 -63.327896475175
    14 -16.310182416062 -11.756966843200  -0.581096838367   1.113782327617   1.086899972723   0.244751044141  -0.003942590402   3.396027901646   2.429256312965   3.159036919578   0.030059138053   0.125250403633   0.241868939732 -12.694981223465  -8.830277164270   0.243817331710  -9.992635120897
    15 -16.330315749396 -11.635549159906  -0.611654395757   1.099560034252   1.072929770925   0.249855078265   0.004036607681   3.734089998178   2.721390434070  -0.825802719643   0.032826088000   0.125250403633   0.264133026234 -12.694981223465  -8.830277164270   0.243817331710  -9.992635120897
    16 -16.350449082729 -11.514131476613  -0.642211953147   1.096679293344   1.070127343821   0.252169139997   0.007104603396   4.062572496760   2.536793387320  -0.648547969190   0.035593037946   0.125250403633   0.286397112737 -12.694981223465  -8.830277164270   0.243817331710  -9.992635120897
    17 -16.370582416063 -11.392713793319  -0.672769510537   1.091721666781   1.065290876820   0.252384258539   0.008496575055   4.370467142396   2.388468771550  -0.536099907266   0.038359987892   0.125250403633   0.308661199239 -12.694981223465  -8.830277164270   0.243817331710  -9.992635120897
    18 -16.390715749395 -11.271296110025  -0.703327067927   1.084447000290   1.058190723013   0.251397770040   0.009586132137   4.661118866232   2.254417172136  -0.534551391960   0.041126937839   0.125250403633   0.330925285742 -12.694981223465  -8.830277164270   0.243817331710  -9.992635120897
    19 -16.410849082729 -11.149878426731  -0.733884625317   1.074936636127   1.048906804904   0.249530137502   0.010661198678   4.934677193143   2.110093961567  -0.618137823082   0.043893887785   0.125250403633   0.353189372244 -12.694981223465  -8.830277164270   0.243817331710  -9.992635120897
