Program Version = FreeWake2020_dev V0.4
Flight configuration defined in input file = FW_Input.txt
Flight Condition number = 1
This file holds surface DVE informtion of last timestep
Angle of attack sweep alpha = 8.000
surface and wake DVE after number of timesteps = 25
elements in span direction = 123
number of surface elements = 738
Coefficients are based on DVE area and DVE freestreaem velocity
 index               xo               yo               zo              cfn         normal-x         normal-y         normal-z                u                v                w             area              eta              xsi               nu          epsilon              psi            phiLE             Phi0            phiTE               x1               y1               z1               x2               y2               z2                A                B                C 	#
    18       -16.545116        -8.473230        -1.158462         0.136438         0.080104         0.948237         0.307295        26.774890        -0.804902         3.762965         0.000231         0.010211         0.005664       -72.044031         4.594547         0.196018       -27.869245       -14.843862       -23.500729       -16.545345        -8.476360        -1.148742       -16.556178        -8.469248        -1.167865         0.692017         5.417270       -25.242323 
    19       -16.554991        -8.466189        -1.177612         0.138216         0.080104         0.948237         0.307295        26.774890        -0.804902         3.762965         0.000271         0.010211         0.006625       -72.044031         4.594547         0.196018       -27.869245       -14.843862       -23.500729       -16.556178        -8.469248        -1.167865       -16.567012        -8.462135        -1.186988         0.793664         4.689161       -10.412137 
    20       -16.517908        -8.488015        -1.120409         0.052284         0.118885         0.949681         0.289780        26.774890        -0.804902         3.762965         0.000153         0.010214         0.003756       -73.031257         6.827780         0.356963       -23.431313       -12.624895       -18.748725       -16.517178        -8.491078        -1.110670       -16.526095        -8.484111        -1.129844         0.366731        26.528888      -917.932050 
    21       -16.525866        -8.481156        -1.139622         0.085654         0.118885         0.949681         0.289780        26.774890        -0.804902         3.762965         0.000193         0.010214         0.004721       -73.031257         6.827780         0.356963       -23.431313       -12.624895       -18.748725       -16.526095        -8.484111        -1.129844       -16.535012        -8.477144        -1.149018         0.618534         7.221913       -27.189470 
    22       -16.533824        -8.474297        -1.158836         0.093686         0.118885         0.949681         0.289780        26.774890        -0.804902         3.762965         0.000232         0.010214         0.005686       -73.031257         6.827780         0.356963       -23.431313       -12.624895       -18.748725       -16.535012        -8.477144        -1.149018       -16.543928        -8.470178        -1.168191         0.754572         6.082489       -28.588008 
    23       -16.541783        -8.467438        -1.178049         0.095964         0.118885         0.949681         0.289780        26.774890        -0.804902         3.762965         0.000272         0.010214         0.006651       -73.031257         6.827780         0.356963       -23.431313       -12.624895       -18.748725       -16.543928        -8.470178        -1.168191       -16.552845        -8.463211        -1.187365         0.868360         5.201428       -14.541975 
    24       -16.626178        -8.458950        -1.200326         0.261816        -0.166176         0.878055         0.448781        26.774890        -0.804902         3.762965         0.000419         0.013758         0.007607       -62.928075        -9.565573         1.183873       -35.625563       -18.722020       -33.248015       -16.623678        -8.464814        -1.187927       -16.643678        -8.455480        -1.213594         0.251532         1.096187        -1.202852 
    25       -16.645345        -8.449484        -1.225944         0.262774        -0.166176         0.878055         0.448781        26.774890        -0.804902         3.762965         0.000465         0.013758         0.008453       -62.928075        -9.565573         1.183873       -35.625563       -18.722020       -33.248015       -16.643678        -8.455480        -1.213594       -16.663678        -8.446147        -1.239261         0.280506         0.989654        -2.668894 
    26       -16.664512        -8.440017        -1.251562         0.260499        -0.166176         0.878055         0.448781        26.774890        -0.804902         3.762965         0.000512         0.013758         0.009298       -62.928075        -9.565573         1.183873       -35.625563       -18.722020       -33.248015       -16.663678        -8.446147        -1.239261       -16.683678        -8.436814        -1.264927         0.305565         0.820780        -3.468521 
    27       -16.611178        -8.457333        -1.199733         0.233370        -0.059641         0.919713         0.388035        26.774890        -0.804902         3.762965         0.000411         0.013667         0.007513       -67.124667        -3.419221         0.137158       -33.802743       -17.810611       -31.319904       -16.609512        -8.462553        -1.187105       -16.627845        -8.452953        -1.212675         0.458565         2.133399        -4.614431 
    28       -16.628678        -8.447687        -1.225285         0.236142        -0.059641         0.919713         0.388035        26.774890        -0.804902         3.762965         0.000456         0.013667         0.008348       -67.124667        -3.419221         0.137158       -33.802743       -17.810611       -31.319904       -16.627845        -8.452953        -1.212675       -16.646178        -8.443354        -1.238245         0.513377         1.872958        -4.913567 
    29       -16.646178        -8.438041        -1.250838         0.235798        -0.059641         0.919713         0.388035        26.774890        -0.804902         3.762965         0.000502         0.013667         0.009183       -67.124667        -3.419221         0.137158       -33.802743       -17.810611       -31.319904       -16.646178        -8.443354        -1.238245       -16.664512        -8.433755        -1.263815         0.560959         1.612785        -4.604583 
    30       -16.596178        -8.456840        -1.199557         0.195332        -0.009972         0.932690         0.360542        26.774890        -0.804902         3.762965         0.000410         0.013657         0.007500       -68.865432        -0.571384         0.003477       -31.389618       -16.604048       -28.772438       -16.595345        -8.461757        -1.186816       -16.612012        -8.452064        -1.212352         0.628947         2.942940        -7.680687 
    31       -16.612012        -8.447139        -1.225090         0.197176        -0.009972         0.932690         0.360542        26.774890        -0.804902         3.762965         0.000455         0.013657         0.008334       -68.865432        -0.571384         0.003477       -31.389618       -16.604048       -28.772438       -16.612012        -8.452064        -1.212352       -16.628678        -8.442371        -1.237888         0.704203         2.611674        -4.447301 
    32       -16.627845        -8.437439        -1.250623         0.198433        -0.009972         0.932690         0.360542        26.774890        -0.804902         3.762965         0.000501         0.013657         0.009167       -68.865432        -0.571384         0.003477       -31.389618       -16.604048       -28.772438       -16.628678        -8.442371        -1.237888       -16.645345        -8.432678        -1.263424         0.772004         2.336940        -5.611005 
    33       -16.581178        -8.457045        -1.199637         0.170927         0.039212         0.941415         0.334962        26.774890        -0.804902         3.762965         0.000410         0.013660         0.007506       -70.414112         2.247285         0.048430       -28.750116       -15.284297       -25.993671       -16.581178        -8.461624        -1.186768       -16.596178        -8.451915        -1.212298         0.777908         3.647981        -8.266690 
    34       -16.595345        -8.447367        -1.225179         0.173439         0.039212         0.941415         0.334962        26.774890        -0.804902         3.762965         0.000456         0.013660         0.008340       -70.414112         2.247285         0.048430       -28.750116       -15.284297       -25.993671       -16.596178        -8.451915        -1.212298       -16.611178        -8.442207        -1.237828         0.871964         3.278570        -5.254828 
    35       -16.609512        -8.437689        -1.250721         0.174716         0.039212         0.941415         0.334962        26.774890        -0.804902         3.762965         0.000501         0.013660         0.009174       -70.414112         2.247285         0.048430       -28.750116       -15.284297       -25.993671       -16.611178        -8.442207        -1.237828       -16.626178        -8.432498        -1.263358         0.957526         2.978801        -5.717581 
    36       -16.566178        -8.457887        -1.199947         0.139067         0.080115         0.945634         0.315211        26.774890        -0.804902         3.762965         0.000411         0.013667         0.007524       -71.565082         4.595192         0.180241       -25.930135       -13.874306       -23.035124       -16.567012        -8.462146        -1.186958       -16.580345        -8.452499        -1.212510         0.899855         4.215568        -9.547288 
    37       -16.578678        -8.448303        -1.225523         0.140775         0.080115         0.945634         0.315211        26.774890        -0.804902         3.762965         0.000457         0.013667         0.008360       -71.565082         4.595192         0.180241       -25.930135       -13.874306       -23.035124       -16.580345        -8.452499        -1.212510       -16.593678        -8.442852        -1.238063         1.008747         3.810268        -5.280449 
    38       -16.591178        -8.438718        -1.251099         0.141799         0.080115         0.945634         0.315211        26.774890        -0.804902         3.762965         0.000503         0.013667         0.009196       -71.565082         4.595192         0.180241       -25.930135       -13.874306       -23.035124       -16.593678        -8.442852        -1.238063       -16.607012        -8.433205        -1.263615         1.108779         3.496355        -6.203921 
    39       -16.551178        -8.459300        -1.200460         0.096102         0.118893         0.947107         0.298083        26.774890        -0.804902         3.762965         0.000413         0.013673         0.007554       -72.529623         6.828196         0.348887       -22.956658       -12.387568       -19.928457       -16.552845        -8.463217        -1.187347       -16.564512        -8.453696        -1.212945         0.985020         4.610245       -10.755085 
    40       -16.562012        -8.449872        -1.226093         0.097142         0.118893         0.947107         0.298083        26.774890        -0.804902         3.762965         0.000459         0.013673         0.008393       -72.529623         6.828196         0.348887       -22.956658       -12.387568       -19.928457       -16.564512        -8.453696        -1.212945       -16.576178        -8.444175        -1.238544         1.104036         4.165868        -5.494502 
    41       -16.572845        -8.440445        -1.251726         0.097506         0.118893         0.947107         0.298083        26.774890        -0.804902         3.762965         0.000505         0.013673         0.009232       -72.529623         6.828196         0.348887       -22.956658       -12.387568       -19.928457       -16.576178        -8.444175        -1.238544       -16.587845        -8.434654        -1.264142         1.213692         3.842074        -6.345694 
    42       -16.688970        -8.428671        -1.283623         0.251047        -0.166071         0.886015         0.432894        26.774890        -0.804902         3.762965         0.000848         0.020483         0.010354       -63.960554        -9.559485         1.232504       -36.724789       -19.271634       -34.392726       -16.683678        -8.436814        -1.264927       -16.714678        -8.423814        -1.303427         0.330538         0.674638        -1.237739 
    43       -16.718720        -8.415470        -1.322055         0.243534        -0.166071         0.886015         0.432894        26.774890        -0.804902         3.762965         0.000952         0.020483         0.011622       -63.960554        -9.559485         1.232504       -36.724789       -19.271634       -34.392726       -16.714678        -8.423814        -1.303427       -16.745678        -8.410814        -1.341927         0.357797         0.739085         2.810951 
    44       -16.668553        -8.426452        -1.282867         0.232146        -0.059637         0.927750         0.368406        26.774890        -0.804902         3.762965         0.000832         0.020337         0.010227       -68.342194        -3.418970         0.143292       -34.971042       -18.394760       -32.535113       -16.664512        -8.433730        -1.263886       -16.693012        -8.420328        -1.302250         0.612001         1.449592        -0.917792 
    45       -16.695803        -8.412980        -1.321207         0.231505        -0.059637         0.927750         0.368406        26.774890        -0.804902         3.762965         0.000934         0.020337         0.011479       -68.342194        -3.418970         0.143292       -34.971042       -18.394760       -32.535113       -16.693012        -8.420328        -1.302250       -16.721512        -8.406925        -1.340615         0.671998         1.626214         5.260241 
    46       -16.648137        -8.425776        -1.282644         0.197599        -0.009972         0.940640         0.339259        26.774890        -0.804902         3.762965         0.000830         0.020320         0.010209       -70.167216        -0.571383         0.003646       -32.608055       -17.213266       -30.036601       -16.645345        -8.432644        -1.263520       -16.671345        -8.419100        -1.301836         0.846934         2.153003        -0.754838 
    47       -16.672887        -8.412220        -1.320956         0.198069        -0.009972         0.940640         0.339259        26.774890        -0.804902         3.762965         0.000931         0.020320         0.011459       -70.167216        -0.571383         0.003646       -32.608055       -17.213266       -30.036601       -16.671345        -8.419100        -1.301836       -16.697345        -8.405556        -1.340152         0.935846         2.353400         5.685808 
    48       -16.627720        -8.426057        -1.282746         0.174688         0.039211         0.949230         0.312130        26.774890        -0.804902         3.762965         0.000831         0.020325         0.010216       -71.797871         2.247228         0.050993       -30.013080       -15.915779       -27.299718       -16.626178        -8.432463        -1.263458       -16.649678        -8.418895        -1.301767         1.054328         2.803640        -0.466312 
    49       -16.649970        -8.412536        -1.321071         0.175894         0.039211         0.949230         0.312130        26.774890        -0.804902         3.762965         0.000932         0.020325         0.011467       -71.797871         2.247228         0.050993       -30.013080       -15.915779       -27.299718       -16.649678        -8.418895        -1.301767       -16.673178        -8.405328        -1.340075         1.169874         2.996719         5.216068 
    50       -16.607303        -8.427213        -1.283141         0.141605         0.080108         0.953313         0.291164        26.774890        -0.804902         3.762965         0.000833         0.020337         0.010241       -73.016103         4.594767         0.190776       -27.232353       -14.525415       -24.376314       -16.607012        -8.433176        -1.263699       -16.628012        -8.419701        -1.302039         1.223226         3.343104         0.401411 
    51       -16.627053        -8.413833        -1.321514         0.143221         0.080108         0.953313         0.291164        26.774890        -0.804902         3.762965         0.000935         0.020337         0.011495       -73.016103         4.594767         0.190776       -27.232353       -14.525415       -24.376314       -16.628012        -8.419701        -1.302039       -16.649012        -8.406227        -1.340379         1.361412         3.527802         4.139566 
    52       -16.586887        -8.429151        -1.283794         0.097072         0.118872         0.954655         0.272953        26.774890        -0.804902         3.762965         0.000837         0.020348         0.010281       -74.043834         6.826994         0.371761       -24.292222       -13.055350       -21.297401       -16.587845        -8.434636        -1.264192       -16.606345        -8.421352        -1.302596         1.340166         3.715469         1.153185 
    53       -16.604137        -8.416009        -1.322248         0.098339         0.118872         0.954655         0.272953        26.774890        -0.804902         3.762965         0.000939         0.020348         0.011540       -74.043834         6.826994         0.371761       -24.292222       -13.055350       -21.297401       -16.606345        -8.421352        -1.302596       -16.624845        -8.408068        -1.341001         1.494200         3.899569         3.370578 
    54       -16.744033        -8.402077        -1.360481         0.262353        -0.166773         0.897667         0.407899        26.774890        -0.804902         3.762965         0.001030         0.020478         0.012573       -65.562988        -9.600231         0.855055       -27.363124       -14.590801       -25.961264       -16.745678        -8.410814        -1.341927       -16.767178        -8.397314        -1.380427         0.393671         1.055755         4.920234 
